Product,SalesAmount,ORDERDATE,PRODUCTCODE
10413,8236.75,05-05-2005 00:00,S12_3148
10108,6130.35,03-03-2003 00:00,S12_3380
10122,3693.34,05-08-2003 00:00,S12_3380
10135,6031.68,07-02-2003 00:00,S12_3380
10147,3494.94,09-05-2003 00:00,S12_3380
10160,5294.14,10-11-2003 00:00,S12_3380
10170,5464.69,11-04-2003 00:00,S12_3380
10181,2860.76,11-12-2003 00:00,S12_3380
10191,5590,11/20/2003 0:00,S12_3380
10203,2254.8,12-02-2003 00:00,S12_3380
10212,4946.76,1/16/2004 0:00,S12_3380
10225,2495.5,2/22/2004 0:00,S12_3380
10238,3167.38,04-09-2004 00:00,S12_3380
10253,2402.84,06-01-2004 00:00,S12_3380
10266,2454.54,07-06-2004 00:00,S12_3380
10276,5464.69,08-02-2004 00:00,S12_3380
10287,4756.5,8/30/2004 0:00,S12_3380
10300,3984.6,10-04-2003 00:00,S12_3380
10310,3100.32,10/16/2004 0:00,S12_3380
10320,4850.3,11-03-2004 00:00,S12_3380
10329,3846.98,11/15/2004 0:00,S12_3380
10341,4220.92,11/24/2004 0:00,S12_3380
10363,3288.82,01-06-2005 00:00,S12_3380
10376,3987.2,02-08-2005 00:00,S12_3380
10389,1809.5,03-03-2005 00:00,S12_3380
10419,1092.2,5/17/2005 0:00,S12_3380
10105,4566.05,02-11-2003 00:00,S12_3891
10117,5938.14,4/16/2003 0:00,S12_3891
10127,8138.76,06-03-2003 00:00,S12_3891
10142,9470.94,08-08-2003 00:00,S12_3891
10153,7036.89,9/28/2003 0:00,S12_3891
10165,5559.03,10/22/2003 0:00,S12_3891
10176,7872.5,11-06-2003 00:00,S12_3891
10185,7886.2,11/14/2003 0:00,S12_3891
10196,7232.16,11/26/2003 0:00,S12_3891
10208,3114.4,01-02-2004 00:00,S12_3891
10220,5045.22,02-12-2004 00:00,S12_3891
10231,6952.12,3/19/2004 0:00,S12_3891
10247,4157.73,05-05-2004 00:00,S12_3891
10272,7962.24,7/20/2004 0:00,S12_3891
10282,3778.8,8/20/2004 0:00,S12_3891
10293,8253,09-09-2004 00:00,S12_3891
10306,3633.4,10/14/2004 0:00,S12_3891
10314,6913.8,10/22/2004 0:00,S12_3891
10325,2583.6,11-05-2004 00:00,S12_3891
10336,3105.62,11/20/2004 0:00,S12_3891
10349,4408.56,12-01-2004 00:00,S12_3891
10359,3042.41,12/15/2004 0:00,S12_3891
10372,5941.5,1/26/2005 0:00,S12_3891
10382,3241.9,2/17/2005 0:00,S12_3891
10396,6109.29,3/23/2005 0:00,S12_3891
10413,3387.78,05-05-2005 00:00,S12_3891
10108,3485.82,03-03-2003 00:00,S12_3990
10122,2042.88,05-08-2003 00:00,S12_3990
10135,1800.24,07-02-2003 00:00,S12_3990
10147,1340.64,09-05-2003 00:00,S12_3990
10159,1762.08,10-10-2003 00:00,S12_3990
10169,2298.24,11-04-2003 00:00,S12_3990
10181,1628,11-12-2003 00:00,S12_3990
10191,1939.2,11/20/2003 0:00,S12_3990
10203,3651.56,12-02-2003 00:00,S12_3990
10211,2591.96,1/15/2004 0:00,S12_3990
10225,2864.17,2/22/2004 0:00,S12_3990
10238,1484.2,04-09-2004 00:00,S12_3990
10253,2254.25,06-01-2004 00:00,S12_3990
10266,2681.35,07-06-2004 00:00,S12_3990
10276,3184.02,08-02-2004 00:00,S12_3990
10287,2846.63,8/30/2004 0:00,S12_3990
10300,1685.42,10-04-2003 00:00,S12_3990
10310,3988.6,10/16/2004 0:00,S12_3990
10320,2789.96,11-03-2004 00:00,S12_3990
10329,3607.56,11/15/2004 0:00,S12_3990
10341,3368.16,11/24/2004 0:00,S12_3990
10363,2775.08,01-06-2005 00:00,S12_3990
10377,1627.92,02-09-2005 00:00,S12_3990
10389,2529.36,03-03-2005 00:00,S12_3990
10419,3065.78,5/17/2005 0:00,S12_3990
10104,4615.78,1/31/2003 0:00,S12_4473
10115,5723.78,04-04-2003 00:00,S12_4473
10127,2559.6,06-03-2003 00:00,S12_4473
10141,2140.11,08-01-2003 00:00,S12_4473
10151,3327.6,9/21/2003 0:00,S12_4473
10165,6825.6,10/22/2003 0:00,S12_4473
10175,3543.28,11-06-2003 00:00,S12_4473
10184,4516.22,11/14/2003 0:00,S12_4473
10195,6445.46,11/25/2003 0:00,S12_4473
10207,3384.36,12-09-2003 00:00,S12_4473
10219,4891.68,02-10-2004 00:00,S12_4473
10229,4521.96,03-11-2004 00:00,S12_4473
10246,5069.66,05-05-2004 00:00,S12_4473
10259,6541.2,6/15/2004 0:00,S12_4473
10271,3012.27,7/20/2004 0:00,S12_4473
10281,5247.18,8/19/2004 0:00,S12_4473
10292,2214.87,09-08-2004 00:00,S12_4473
10305,4773.18,10/13/2004 0:00,S12_4473
10314,6185.7,10/22/2004 0:00,S12_4473
10324,1517.88,11-05-2004 00:00,S12_4473
10336,6372.6,11/20/2004 0:00,S12_4473
10349,5232.96,12-01-2004 00:00,S12_4473
10358,2694.72,12-10-2004 00:00,S12_4473
10371,1749.79,1/23/2005 0:00,S12_4473
10382,2130.56,2/17/2005 0:00,S12_4473
10412,5951.34,05-03-2005 00:00,S12_4473
10425,4692.6,5/31/2005 0:00,S12_4473
10108,3731.04,03-03-2003 00:00,S12_4675
10122,2142,05-08-2003 00:00,S12_4675
10135,2838.81,07-02-2003 00:00,S12_4675
10147,3230.37,09-05-2003 00:00,S12_4675
10160,5182,10-11-2003 00:00,S12_4675
10170,4391.1,11-04-2003 00:00,S12_4675
10181,4477.32,11-12-2003 00:00,S12_4675
10192,3544.56,11/20/2003 0:00,S12_4675
10203,5195.85,12-02-2003 00:00,S12_4675
10212,4180.44,1/16/2004 0:00,S12_4675
10225,2684.43,2/22/2004 0:00,S12_4675
10239,1958.88,04-12-2004 00:00,S12_4675
10253,4910.57,06-01-2004 00:00,S12_4675
10266,4468.4,07-06-2004 00:00,S12_4675
10277,3127.88,08-04-2004 00:00,S12_4675
10287,2675.13,8/30/2004 0:00,S12_4675
10300,2807.61,10-04-2003 00:00,S12_4675
10310,2504.75,10/16/2004 0:00,S12_4675
10321,2984.88,11-04-2004 00:00,S12_4675
10329,2524.86,11/15/2004 0:00,S12_4675
10341,4136,11/24/2004 0:00,S12_4675
10363,4068.7,01-06-2005 00:00,S12_4675
10377,5182,02-09-2005 00:00,S12_4675
10389,5243.79,03-03-2005 00:00,S12_4675
10405,9048.16,4/14/2005 0:00,S12_4675
10419,3832.64,5/17/2005 0:00,S12_4675
10103,3920,1/29/2003 0:00,S18_1097
10113,4916.66,3/26/2003 0:00,S18_1097
10126,3857,5/28/2003 0:00,S18_1097
10140,4181.44,7/24/2003 0:00,S18_1097
10150,4641,9/19/2003 0:00,S18_1097
10164,3570.12,10/21/2003 0:00,S18_1097
10174,4480.32,11-06-2003 00:00,S18_1097
10183,2033.64,11/13/2003 0:00,S18_1097
10194,1960.14,11/25/2003 0:00,S18_1097
10206,3966.78,12-05-2003 00:00,S18_1097
10215,5152,1/29/2004 0:00,S18_1097
10228,3360,03-10-2004 00:00,S18_1097
10245,3451,05-04-2004 00:00,S18_1097
10258,5453,6/15/2004 0:00,S18_1097
10270,4164.12,7/19/2004 0:00,S18_1097
10280,2800.08,8/17/2004 0:00,S18_1097
10291,4687.94,09-08-2004 00:00,S18_1097
10304,4508,10-11-2004 00:00,S18_1097
10312,4181.44,10/21/2004 0:00,S18_1097
10322,2251.04,11-04-2004 00:00,S18_1097
10333,1167.25,11/18/2004 0:00,S18_1097
10347,2083.2,11/29/2004 0:00,S18_1097
10357,3822,12-10-2004 00:00,S18_1097
10370,3911.49,1/20/2005 0:00,S18_1097
10381,4704,2/17/2005 0:00,S18_1097
10391,2467.9,03-09-2005 00:00,S18_1097
10411,3213,05-01-2005 00:00,S18_1097
10424,7182,5/31/2005 0:00,S18_1097
10109,4379.18,03-10-2003 00:00,S18_1129
10122,5004.8,05-08-2003 00:00,S18_1129
10136,3644.75,07-04-2003 00:00,S18_1129
10148,2702.04,09-11-2003 00:00,S18_1129
10161,3764.88,10/17/2003 0:00,S18_1129
10171,4508,11-05-2003 00:00,S18_1129
10181,5418.16,11-12-2003 00:00,S18_1129
10192,3300.66,11/20/2003 0:00,S18_1129
10204,6182.4,12-02-2003 00:00,S18_1129
10212,4186.73,1/16/2004 0:00,S18_1129
10225,4529.28,2/22/2004 0:00,S18_1129
10240,5628.89,4/13/2004 0:00,S18_1129
10253,3054.48,06-01-2004 00:00,S18_1129
10266,2526.51,07-06-2004 00:00,S18_1129
10278,4667.86,08-06-2004 00:00,S18_1129
10287,6499.32,8/30/2004 0:00,S18_1129
10301,5917.78,10-05-2003 00:00,S18_1129
10310,6231.91,10/16/2004 0:00,S18_1129
10321,5803.14,11-04-2004 00:00,S18_1129
10331,6434.02,11/17/2004 0:00,S18_1129
10342,6454.4,11/24/2004 0:00,S18_1129
10356,4196.8,12-09-2004 00:00,S18_1129
10365,2611.8,01-07-2005 00:00,S18_1129
10377,5895.05,02-09-2005 00:00,S18_1129
10390,3375.72,03-04-2005 00:00,S18_1129
10406,8374.69,4/15/2005 0:00,S18_1129
10419,4464.24,5/17/2005 0:00,S18_1129
10102,4808.31,01-10-2003 00:00,S18_1342
10111,3288.78,3/25/2003 0:00,S18_1342
10125,3254.72,5/21/2003 0:00,S18_1342
10139,3184.94,7/16/2003 0:00,S18_1342
10149,5907.5,09-12-2003 00:00,S18_1342
10162,4389.12,10/18/2003 0:00,S18_1342
10173,5036.16,11-05-2003 00:00,S18_1342
10182,2183.25,11-12-2003 00:00,S18_1342
10193,3106.88,11/21/2003 0:00,S18_1342
10205,3735.72,12-03-2003 00:00,S18_1342
10215,2413.26,1/29/2004 0:00,S18_1342
10227,2953.75,03-02-2004 00:00,S18_1342
10244,4684.8,4/29/2004 0:00,S18_1342
10256,3248.7,06-08-2004 00:00,S18_1342
10280,5239.5,8/17/2004 0:00,S18_1342
10289,4567.98,09-03-2004 00:00,S18_1342
10304,3535.35,10-11-2004 00:00,S18_1342
10312,3843.34,10/21/2004 0:00,S18_1342
10322,3710.9,11-04-2004 00:00,S18_1342
10332,4375.98,11/17/2004 0:00,S18_1342
10346,1516.62,11/29/2004 0:00,S18_1342
10356,2509,12-09-2004 00:00,S18_1342
10369,9240.44,1/20/2005 0:00,S18_1342
10380,2515.32,2/16/2005 0:00,S18_1342
10391,5548.9,03-09-2005 00:00,S18_1342
10422,4873.05,5/30/2005 0:00,S18_1342
10102,2055.74,01-10-2003 00:00,S18_1367
10111,2354.88,3/25/2003 0:00,S18_1367
10126,2309.58,5/28/2003 0:00,S18_1367
10139,2113.37,7/16/2003 0:00,S18_1367
10149,1746.6,09-12-2003 00:00,S18_1367
10162,2304.45,10/18/2003 0:00,S18_1367
10173,2122.08,11-05-2003 00:00,S18_1367
10182,1742.4,11-12-2003 00:00,S18_1367
10193,2455.02,11/21/2003 0:00,S18_1367
10205,3053.28,12-03-2003 00:00,S18_1367
10215,1423.29,1/29/2004 0:00,S18_1367
10227,1504.12,03-02-2004 00:00,S18_1367
10244,1164.4,4/29/2004 0:00,S18_1367
10256,1500.75,06-08-2004 00:00,S18_1367
10280,1557.36,8/17/2004 0:00,S18_1367
10289,1345.68,09-03-2004 00:00,S18_1367
10304,1795.24,10-11-2004 00:00,S18_1367
10312,1105.25,10/21/2004 0:00,S18_1367
10322,2364.88,11-04-2004 00:00,S18_1367
10332,2427.03,11/17/2004 0:00,S18_1367
10347,1237.95,11/29/2004 0:00,S18_1367
10356,1593.02,12-09-2004 00:00,S18_1367
10369,3156.16,1/20/2005 0:00,S18_1367
10381,1320.75,2/17/2005 0:00,S18_1367
10391,4998,03-09-2005 00:00,S18_1367
10422,1293.75,5/30/2005 0:00,S18_1367
10110,5433.08,3/18/2003 0:00,S18_1589
10123,3073.72,5/20/2003 0:00,S18_1589
10137,4380.2,07-10-2003 00:00,S18_1589
10148,5848.68,09-11-2003 00:00,S18_1589
10161,6153.73,10/17/2003 0:00,S18_1589
10172,4965.24,11-05-2003 00:00,S18_1589
10181,5435.64,11-12-2003 00:00,S18_1589
10192,4258.36,11/20/2003 0:00,S18_1589
10204,4032,12-02-2003 00:00,S18_1589
10212,4492.36,1/16/2004 0:00,S18_1589
10226,4161.38,2/26/2004 0:00,S18_1589
10241,2508.66,4/13/2004 0:00,S18_1589
10253,3374.88,06-01-2004 00:00,S18_1589
10266,5196.6,07-06-2004 00:00,S18_1589
10278,2604.52,08-06-2004 00:00,S18_1589
10288,2936.8,09-01-2004 00:00,S18_1589
10301,3424.64,10-05-2003 00:00,S18_1589
10311,2923.2,10/16/2004 0:00,S18_1589
10321,4489.76,11-04-2004 00:00,S18_1589
10331,4849.24,11/17/2004 0:00,S18_1589
10343,5848.92,11/24/2004 0:00,S18_1589
10367,2758.7,01-12-2005 00:00,S18_1589
10378,1449.76,02-10-2005 00:00,S18_1589
10407,7048.14,4/22/2005 0:00,S18_1589
10419,5202.94,5/17/2005 0:00,S18_1589
10106,5279.4,2/17/2003 0:00,S18_1662
10119,6916.12,4/28/2003 0:00,S18_1662
10131,2781.66,6/16/2003 0:00,S18_1662
10143,5248,08-10-2003 00:00,S18_1662
10155,6531.44,10-06-2003 00:00,S18_1662
10167,5763.72,10/23/2003 0:00,S18_1662
10178,6490.68,11-08-2003 00:00,S18_1662
10186,6004.8,11/14/2003 0:00,S18_1662
10198,7483.98,11/27/2003 0:00,S18_1662
10210,5719.5,01-12-2004 00:00,S18_1662
10222,6954.08,2/19/2004 0:00,S18_1662
10250,8160.3,05-11-2004 00:00,S18_1662
